nom,latitude,longitude,code_postal,codes_postaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latitude_centre,longitude_centre
La Haye-de-Calleville,49.188,0.778,27800,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.188,0.778
La Haye-de-Routot,49.403,0.728,27350,27350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.403,0.728
La Haye-du-Theil,49.238,0.875,27370,27370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.238,0.875
La Haye-le-Comte,49.196,1.134,27400,27400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.196,1.134
La Haye-Malherbe,49.237,1.066,27400,27400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.237,1.066
La Haye-Saint-Sylvestre,48.911,0.594,27330,27330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.911,0.594
Hébécourt,49.357,1.722,27150,27150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.357,1.722
Hecmanville,49.173,0.664,27800,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.173,0.664
Hécourt,48.988,1.429,27120,27120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.988,1.429
Hectomare,49.193,0.944,27110,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.193,0.944
Hennezis,49.191,1.456,27700,27700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.191,1.456
Herqueville,49.244,1.274,27430,27430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.244,1.274
Heubécourt-Haricourt,49.13,1.565,27630,27630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.13,1.565
Heudebouville,49.193,1.237,27600,"27403, 27600, 27405, 27400, 27406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.193,1.237
Heudicourt,49.334,1.663,27860,27860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.334,1.663
Heudreville-en-Lieuvin,49.193,0.503,27230,27230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.193,0.503
Heudreville-sur-Eure,49.132,1.189,27400,27400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.132,1.189
La Heunière,49.065,1.413,27950,27950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.065,1.413
Heuqueville,49.287,1.321,27700,27700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.287,1.321
Les Hogues,49.42,1.408,27910,27910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.42,1.408
Hondouville,49.145,1.116,27400,27400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.145,1.116
Honguemare-Guenouville,49.378,0.816,27310,27310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.378,0.816
L'Hosmes,48.79,1.031,27570,27570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.79,1.031
Houetteville,49.129,1.09,27400,27400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.129,1.09
Houlbec-Cocherel,49.064,1.361,27120,27120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.064,1.361
La Houssaye,48.998,0.8,27410,27410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.998,0.8
Houville-en-Vexin,49.3,1.358,27440,27440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3,1.358
Huest,49.037,1.208,27930,27930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.037,1.208
Igoville,49.323,1.151,27460,27460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.323,1.151
Illeville-sur-Montfort,49.319,0.709,27290,27290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.319,0.709
Illiers-l'Évêque,48.825,1.26,27770,27770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.825,1.26
Incarville,49.252,1.152,27400,"27401, 27400, 27403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.252,1.152
Irreville,49.098,1.2,27930,"27002, 27930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.098,1.2
Iville,49.177,0.926,27110,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.177,0.926
Ivry-la-Bataille,48.886,1.447,27540,27540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.886,1.447
Jouy-sur-Eure,49.05,1.292,27120,27120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.05,1.292
Juignettes,48.847,0.644,27250,27250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.847,0.644
Jumelles,48.917,1.212,27220,27220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.917,1.212
La Lande-Saint-Léger,49.298,0.336,27210,27210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.298,0.336
Le Landin,49.407,0.804,27350,27350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.407,0.804
Launay,49.108,0.737,27470,27470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.108,0.737
Léry,49.288,1.195,27690,27690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.288,1.195
Letteguives,49.422,1.327,27910,27910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.422,1.327
Lieurey,49.233,0.501,27560,27560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.233,0.501
Lignerolles,48.845,1.273,27220,27220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.845,1.273
Lilly,49.403,1.567,27480,27480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.403,1.567
Lisors,49.358,1.473,27440,27440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.358,1.473
Livet-sur-Authou,49.229,0.655,27800,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.229,0.655
Longchamps,49.358,1.621,27150,27150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.358,1.621
Lorleau,49.421,1.505,27480,27480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.421,1.505
Louversey,48.991,0.916,27190,27190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.991,0.916
Louviers,49.221,1.153,27400,"27400, 27404, 27407, 27403, 27406, 27402, 27405, 27401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.221,1.153
Louye,48.797,1.319,27650,27650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.797,1.319
Lyons-la-Forêt,49.394,1.474,27480,27480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.394,1.474
La Madeleine-de-Nonancourt,48.79,1.218,27320,27320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.79,1.218
Mainneville,49.375,1.687,27150,27150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.375,1.687
Malleville-sur-le-Bec,49.242,0.746,27800,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.242,0.746
Malouy,49.128,0.529,27300,27300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.128,0.529
Mandeville,49.216,1.013,27370,27370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.216,1.013
Mandres,48.753,0.851,27130,"27131, 27130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.753,0.851
Manneville-la-Raoult,49.369,0.328,27210,27210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.369,0.328
Manneville-sur-Risle,49.361,0.546,27500,"27501, 27502, 27500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.361,0.546
Le Manoir,49.318,1.199,27460,27460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.318,1.199
Marais-Vernier,49.438,0.464,27680,27680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.438,0.464
Marbeuf,49.154,0.963,27110,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.154,0.963
Marcilly-la-Campagne,48.827,1.188,27320,27320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.827,1.188
Marcilly-sur-Eure,48.821,1.333,27810,27810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.821,1.333
Martagny,49.396,1.658,27150,27150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.396,1.658
Martainville,49.303,0.386,27210,27210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.303,0.386
Martot,49.278,1.071,27340,27340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.278,1.071
Mélicourt,48.912,0.502,27390,27390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.912,0.502
Ménesqueville,49.357,1.407,27850,27850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.357,1.407
Ménilles,49.039,1.37,27120,27120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.039,1.37
Menneval,49.102,0.622,27300,"27304, 27303, 27300, 27301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.102,0.622
Mercey,49.083,1.399,27950,27950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.083,1.399
Merey,48.959,1.393,27640,27640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.959,1.393
Le Mesnil-Fuguet,49.073,1.114,27930,27930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.073,1.114
Le Mesnil-Jourdain,49.182,1.128,27400,27400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.182,1.128
Mesnil-Rousset,48.894,0.557,27390,27390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.894,0.557
Mesnil-sous-Vienne,49.385,1.668,27150,27150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.385,1.668
Mesnil-sur-l'Estrée,48.777,1.29,27650,27650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.777,1.29
Mesnil-Verclives,49.323,1.465,27440,27440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.323,1.465
Mézières-en-Vexin,49.176,1.503,27510,27510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.176,1.503
Miserey,49.02,1.261,27930,27930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.02,1.261
Moisville,48.848,1.166,27320,27320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.848,1.166
Terres de Bord,49.23,1.098,27340,"27400, 27340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.23,1.098
Montfort-sur-Risle,49.294,0.671,27290,27290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.294,0.671
Montreuil-l'Argillé,48.94,0.468,27390,27390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.94,0.468
Morainville-Jouveaux,49.223,0.444,27260,27260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.223,0.444
Morgny,49.378,1.578,27150,27150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.378,1.578
Morsan,49.18,0.598,27800,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.18,0.598
Mouettes,48.889,1.368,27220,27220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.889,1.368
Mouflaines,49.244,1.555,27420,27420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.244,1.555
Mousseaux-Neuville,48.907,1.338,27220,27220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.907,1.338
Muids,49.227,1.286,27430,27430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.227,1.286
Muzy,48.778,1.326,27650,27650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.778,1.326
Nagel-Séez-Mesnil,48.925,0.941,27190,27190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.925,0.941
Nassandres sur Risle,49.134,0.739,27550,"27550, 27170, 27300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.134,0.739
Neaufles-Saint-Martin,49.277,1.726,27830,27830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.277,1.726
Neaufles-Auvergny,48.874,0.744,27250,27250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.874,0.744
Le Neubourg,49.148,0.897,27110,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.148,0.897
Neuilly,48.93,1.417,27730,27730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.93,1.417
La Neuve-Grange,49.36,1.558,27150,27150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.36,1.558
La Neuve-Lyre,48.902,0.736,27330,27330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.902,0.736
La Neuville-du-Bosc,49.194,0.816,27890,27890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.194,0.816
Neuville-sur-Authou,49.205,0.629,27800,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.205,0.629
Noards,49.21,0.51,27560,27560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.21,0.51
La Noë-Poulain,49.271,0.52,27560,27560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.271,0.52
Nogent-le-Sec,48.92,1.005,27190,27190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.92,1.005
Nojeon-en-Vexin,49.329,1.556,27150,27150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.329,1.556
Nonancourt,48.777,1.179,27320,27320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.777,1.179
Normanville,49.072,1.162,27930,"27931, 27932, 27930, 27094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.072,1.162
Notre-Dame-de-l'Isle,49.156,1.448,27940,27940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.156,1.448
Notre-Dame-d'Épine,49.195,0.598,27800,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.195,0.598
Notre-Dame-du-Hamel,48.892,0.51,27390,27390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.892,0.51
Le Noyer-en-Ouche,49.006,0.762,27410,27410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.006,0.762
Noyers,49.246,1.674,27720,27720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.246,1.674
Ormes,49.056,0.956,27190,27190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.056,0.956
Le Val-Doré,48.941,1.021,27190,27190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.941,1.021
Pacy-sur-Eure,49.022,1.4,27120,"27127, 27120, 27122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.022,1.4
Parville,49.032,1.092,27180,27180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.032,1.092
Perriers-sur-Andelle,49.408,1.363,27910,27910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.408,1.363
Perruel,49.432,1.362,27910,27910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.432,1.362
Piencourt,49.172,0.408,27230,27230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.172,0.408
Pinterville,49.192,1.192,27400,27400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.192,1.192
Piseux,48.772,0.966,27130,27130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.772,0.966
Pîtres,49.331,1.218,27590,"27108, 27590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.331,1.218
Les Places,49.153,0.417,27230,27230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.153,0.417
Plainville,49.079,0.5,27300,27300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.079,0.5
Le Planquay,49.094,0.427,27230,27230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.094,0.427
Plasnes,49.138,0.625,27300,27300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.138,0.625
Le Plessis-Grohan,48.944,1.133,27180,27180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.944,1.133
Le Plessis-Hébert,48.982,1.363,27120,27120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.982,1.363
Le Plessis-Sainte-Opportune,49.07,0.856,27170,27170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,0.856
Pont-Audemer,49.346,0.534,27500,"27503, 27504, 27500, 27502, 27505, 27501, 27507, 27508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.346,0.534
Pont-Authou,49.242,0.702,27290,27290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.242,0.702
Pont-de-l'Arche,49.291,1.144,27340,27340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.291,1.144
Pont-Saint-Pierre,49.343,1.288,27360,27360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.343,1.288
Porte-de-Seine,49.252,1.251,27430,"27430, 27100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.252,1.251
Portes,49.025,0.948,27190,27190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.025,0.948
Port-Mort,49.174,1.41,27940,27940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.174,1.41
Poses,49.3,1.241,27740,27740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3,1.241
La Poterie-Mathieu,49.252,0.522,27560,27560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.252,0.522
Les Préaux,49.328,0.48,27500,27500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.328,0.48
Pressagny-l'Orgueilleux,49.131,1.465,27510,27510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.131,1.465
Prey,48.958,1.219,27220,27220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.958,1.219
Puchay,49.354,1.526,27150,27150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.354,1.526
Pullay,48.728,0.864,27130,27130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.728,0.864
La Pyle,49.2,0.897,27370,27370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2,0.897
Quatremare,49.184,1.081,27400,27400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.184,1.081
Quillebeuf-sur-Seine,49.47,0.502,27680,27680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.47,0.502
Quittebeuf,49.107,1.005,27110,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.107,1.005
Radepont,49.353,1.324,27380,27380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.353,1.324
Renneville,49.396,1.326,27910,27910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.396,1.326
Reuilly,49.073,1.226,27930,27930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.073,1.226
Richeville,49.258,1.538,27420,27420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.258,1.538
Romilly-la-Puthenaye,49.013,0.838,27170,27170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.013,0.838
Romilly-sur-Andelle,49.334,1.254,27610,"27610, 27108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.334,1.254
La Roquette,49.259,1.343,27700,27700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.259,1.343
Rosay-sur-Lieure,49.375,1.428,27790,27790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.375,1.428
Rougemontiers,49.358,0.725,27350,27350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.358,0.725
Rouge-Perriers,49.146,0.833,27110,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.146,0.833
Routot,49.385,0.726,27350,27350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.385,0.726
Rouvray,49.067,1.34,27120,27120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.067,1.34
Rugles,48.816,0.691,27250,27250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.816,0.691
Sacquenville,49.081,1.074,27930,27930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.081,1.074
Saint-Agnan-de-Cernières,48.95,0.532,27390,27390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.95,0.532
Saint-André-de-l'Eure,48.903,1.278,27220,27220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.903,1.278
Saint-Antonin-de-Sommaire,48.83,0.663,27250,27250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.83,0.663
Saint-Aubin-d'Écrosville,49.143,0.987,27110,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.143,0.987
Saint-Aubin-de-Scellon,49.177,0.473,27230,27230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.177,0.473
Saint-Aubin-du-Thenney,49.015,0.494,27270,27270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.015,0.494
Treis-Sants-en-Ouche,49.059,0.612,27270,"27306, 27307, 27300, 27270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.059,0.612
Saint-Aubin-sur-Gaillon,49.133,1.336,27600,"27607, 27600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.133,1.336
Saint-Aubin-sur-Quillebeuf,49.449,0.525,27680,27680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.449,0.525
Saint-Benoît-des-Ombres,49.226,0.618,27450,27450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.226,0.618
Saint-Christophe-sur-Avre,48.699,0.805,27820,27820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.699,0.805
Saint-Christophe-sur-Condé,49.285,0.601,27450,27450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.285,0.601
Sainte-Colombe-la-Commanderie,49.107,0.936,27110,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.107,0.936
Sainte-Colombe-près-Vernon,49.095,1.341,27950,27950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.095,1.341
Saint-Cyr-de-Salerne,49.186,0.653,27800,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.186,0.653
Le Vaudreuil,49.261,1.199,27100,"27100, 27105, 27109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.261,1.199
Saint-Cyr-la-Campagne,49.25,1.019,27370,27370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.25,1.019
Saint-Denis-d'Augerons,48.915,0.472,27390,27390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.915,0.472
Saint-Denis-des-Monts,49.256,0.807,27520,27520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.256,0.807
Saint-Denis-le-Ferment,49.322,1.718,27140,27140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.322,1.718
Saint-Didier-des-Bois,49.242,1.038,27370,27370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.242,1.038
Saint-Élier,48.984,0.961,27190,27190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.984,0.961
Saint-Éloi-de-Fourques,49.236,0.803,27800,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.236,0.803
Saint-Étienne-du-Vauvray,49.242,1.215,27430,27430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.242,1.215
Saint-Étienne-l'Allier,49.266,0.558,27450,27450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.266,0.558
Saint-Étienne-sous-Bailleul,49.116,1.405,27920,27920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.116,1.405
Sainte-Geneviève-lès-Gasny,49.082,1.57,27620,27620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.082,1.57
Le Mesnil-Saint-Jean,49.211,0.567,27560,27560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.211,0.567
Saint-Georges-du-Vièvre,49.242,0.58,27450,27450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.242,0.58
Saint-Georges-Motel,48.792,1.36,27710,27710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.792,1.36
Saint-Germain-de-Fresney,48.958,1.287,27220,27220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.958,1.287
Saint-Germain-de-Pasquier,49.242,1.002,27370,27370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.242,1.002
Saint-Germain-des-Angles,49.088,1.138,27930,27930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.088,1.138
Saint-Germain-la-Campagne,49.052,0.413,27230,27230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.052,0.413
Saint-Germain-sur-Avre,48.773,1.263,27320,27320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.773,1.263
Saint-Grégoire-du-Vièvre,49.245,0.626,27450,27450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.245,0.626
Saint-Jean-du-Thenney,49.015,0.459,27270,27270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.015,0.459
Saint-Julien-de-la-Liègue,49.14,1.287,27600,27600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.14,1.287
La Chapelle-Longueville,49.106,1.433,27950,27950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.106,1.433
Saint-Laurent-des-Bois,48.846,1.319,27220,27220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.846,1.319
Saint-Laurent-du-Tencement,48.892,0.461,27390,27390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.892,0.461
Saint-Léger-de-Rôtes,49.113,0.662,27300,27300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.113,0.662
Saint-Léger-du-Gennetey,49.283,0.752,27520,27520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.283,0.752
Saint-Luc,48.974,1.233,27930,27930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.974,1.233
Saint-Maclou,49.362,0.414,27210,27210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.362,0.414
